pattern,n_nodes,n_edges,s_exp,s_theta,pval_exp,pval_theta
CDH1->-PIK3CA,2,1,100.000000,99,,3.332223e-04
TP53->-PIK3CA,2,1,84.000000,83,,2.608831e-03
PIK3CA->-TP53,2,1,68.434553,66,,4.873439e-01
MAP3K1->-PIK3CA,2,1,48.000000,47,,2.416884e-02
PIK3CA->-GATA3,2,1,41.155500,38,,3.111037e-01
TP53->-PTEN,2,1,38.000000,38,,3.370675e-04
GATA3->-PIK3CA,2,1,35.666667,34,,6.616159e-01
PIK3CA->-KMT2C,2,1,33.500000,33,,1.791802e-02
PIK3CA->-MAP3K1,2,1,33.000000,32,,9.160194e-01
CBFB->-PIK3CA,2,1,32.500000,32,,4.937239e-06
TP53->-KMT2C,2,1,29.400000,29,,3.368418e-04
PIK3CA->-CDH1,2,1,28.500000,28,,1.000000e+00
PIK3CA->-ESR1,2,1,27.505464,26,,3.350093e-02
TP53->-NF1,2,1,27.000000,27,,1.836727e-03
PIK3CA->-FOXA1,2,1,27.000000,27,,2.652995e-03
CDH1->-TP53,2,1,25.666667,25,,7.735618e-02
TP53->-KMT2D,2,1,24.000000,24,,3.335309e-04
TP53->-MAP3K1,2,1,23.903146,23,,3.899471e-04
CDH1->-KMT2C,2,1,23.500000,23,,5.008290e-04
CDH1->-KMT2C CDH1->-PIK3CA PIK3CA->-KMT2C,3,3,7.000000,7,,1.973204e-03
CBFB->-GATA3,2,1,21.000000,21,,1.091260e-04
CBFB->-GATA3 CBFB->-PIK3CA PIK3CA->-GATA3,3,3,5.000000,5,,3.954581e-02
CBFB->-GATA3 CBFB->-PIK3CA GATA3->-PIK3CA,3,3,5.666667,5,,3.954581e-02
TP53->-RB1,2,1,21.000000,21,,2.602147e-03
PIK3CA->-ARID1A,2,1,20.166667,18,,3.470628e-01
KMT2C->-PIK3CA,2,1,20.000000,18,,9.789139e-01
PIK3CA->-FAT1,2,1,19.253606,18,,2.551136e-03
CDH1->-MAP3K1,2,1,19.000000,19,,5.688474e-04
CDH1->-MAP3K1 CDH1->-PIK3CA PIK3CA->-MAP3K1,3,3,8.000000,8,,9.455568e-04
PIK3CA->-SF3B1,2,1,19.000000,19,,5.274430e-06
AKT1->-TP53,2,1,19.000000,19,,6.426710e-06
TP53->-CDH1,2,1,19.000000,19,,6.638359e-01
CDH1->-PIK3CA TP53->-CDH1 TP53->-PIK3CA,3,3,5.000000,5,,3.196835e-02
CDH1->-ERBB2,2,1,18.928571,18,,7.761546e-02
CDH1->-FOXA1,2,1,18.665753,18,,2.206060e-03
CDH1->-FOXA1 CDH1->-PIK3CA PIK3CA->-FOXA1,3,3,8.000000,8,,3.052904e-04
TP53->-NCOR1,2,1,18.661458,18,,1.649358e-02
PIK3CA->-RUNX1,2,1,18.600000,18,,2.632392e-02
TP53->-FAT1,2,1,18.000000,18,,3.433768e-04
CDH1->-TBX3,2,1,17.500000,17,,2.912276e-02
TP53->-GATA3,2,1,17.256098,17,,9.066568e-03
MAP2K4->-PIK3CA,2,1,17.166667,16,,1.102716e-01
PIK3CA->-NCOR1,2,1,17.100000,16,,5.028726e-01
TBX3->-PIK3CA,2,1,17.000000,17,,1.988634e-01
CDH1->-PIK3CA CDH1->-TBX3 TBX3->-PIK3CA,3,3,5.000000,5,,3.920367e-02
TP53->-ARID1A,2,1,17.000000,16,,1.254372e-03
ESR1->-PIK3CA,2,1,16.500000,16,,8.912413e-01
CDH1->-ARID1A,2,1,16.100000,15,,1.581168e-02
NCOR1->-PIK3CA,2,1,16.000000,16,,5.048329e-01
